,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11854,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season']",21000000.0,19805196.0,19805196.0,False,,1,,,,2025-01-03T18:50:00.000Z,98618.99589657084,35238310902.20511,-21.6771,0.51593592,1.67388536,4.43053144,2.43600985,45.85163957,59.41302861,1953168543054.781,55.7887,2070998913827.99,,2025-01-03T18:50:00.000Z,,,,,,2025-01-03 18:50:40.630954
1,1027,Ethereum,ETH,ethereum,9783,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120475547.46975678,120475547.46975678,True,,2,,,,2025-01-03T18:50:00.000Z,3611.7399994751145,21020043361.670956,-7.0877,0.91871966,4.4753706,7.76742878,-5.50297025,48.97858156,50.58885987,435126353755.1835,12.4239,435126353755.18,,2025-01-03T18:50:00.000Z,,,,,,2025-01-03 18:50:40.630954
2,52,XRP,XRP,xrp,1492,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season']",100000000000.0,57410227039.0,99986740020.0,False,,3,,,,2025-01-03T18:50:00.000Z,2.4527661558194516,5726058243.272737,-41.3912,0.0205372,2.12701678,13.24814036,0.37908603,381.70585664,362.58615217,140813861879.16995,4.0214,245276615581.95,,2025-01-03T18:50:00.000Z,,,,,,2025-01-03 18:50:40.630954
3,825,Tether USDt,USDT,tether,111364,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,137250612325.24301,141437091620.02292,True,,4,,,,2025-01-03T18:50:00.000Z,0.999751120494144,95135925998.01299,-11.5494,0.04286664,0.07734213,0.11435178,-0.14720692,0.03393032,-0.02619484,137216453460.66908,3.9187,141401890826.55,,2025-01-03T18:50:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-01-03 18:50:40.630954
4,5426,Solana,SOL,solana,818,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,482915738.64896464,591480688.2398254,True,,5,,,,2025-01-03T18:50:00.000Z,218.2275411350137,3963212650.5197973,-9.2119,0.32283121,5.73770539,17.27406494,-5.24452052,36.87238761,53.37247042,105385514220.76245,3.009,129077376223.42,,2025-01-03T18:50:00.000Z,,,,,,2025-01-03 18:50:40.630954
5,1839,BNB,BNB,bnb,2326,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,144006835.97,144006835.97,False,,6,,,,2025-01-03T18:50:00.000Z,713.42363270282,1784845692.6021516,-5.7741,0.39699191,1.17481852,2.7593147,-2.85863188,29.18970684,26.87832592,102737880051.75653,2.934,102737880051.76,,2025-01-03T18:50:00.000Z,,,,,,2025-01-03 18:50:40.630954
6,74,Dogecoin,DOGE,dogecoin,1137,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,147473216383.7052,147473216383.7052,True,,7,,,,2025-01-03T18:50:00.000Z,0.3787643825953438,4018648210.365849,18.3105,0.6735918,11.93278996,20.69877168,-8.11652191,142.23285775,249.02939769,55857601752.92364,1.5952,55857601752.92,,2025-01-03T18:50:00.000Z,,,,,,2025-01-03 18:50:40.630954
7,3408,USDC,USDC,usd-coin,24393,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,45149590568.66167,45149590568.66167,False,,8,,,,2025-01-03T18:50:00.000Z,1.0003360335894793,6704991004.948603,-9.6265,0.03022211,0.04512602,0.03362306,0.03268787,0.02134079,0.03536537,45164762347.643974,1.29,45164762347.64,,2025-01-03T18:50:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-01-03 18:50:40.630954
8,2010,Cardano,ADA,cardano,1426,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season']",45000000000.0,35139781273.91349,44995129917.33332,False,,9,,,,2025-01-03T18:50:00.000Z,1.083402753047623,2236400190.5243325,50.3191,-0.26528693,13.21534637,21.69891113,-8.00927642,231.03754463,210.37757178,38070535773.64918,1.087,48753123887.14,,2025-01-03T18:50:00.000Z,,,,,,2025-01-03 18:50:40.630954
9,1958,TRON,TRX,tron,1096,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season']",,86193256439.11777,86193263707.8049,True,,10,,,,2025-01-03T18:50:00.000Z,0.2694160097271756,905170794.0003718,7.9727,0.33906086,2.07932571,3.3005144,-18.90634159,64.70041104,75.27666226,23221843215.218292,0.6632,23221845173.52,,2025-01-03T18:50:00.000Z,,,,,,2025-01-03 18:50:40.630954
