Company Name,Difficulty,Question
City of Los Angeles,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9701-3rd-most-reported-health-issues?code_type=3"",""3rd Most Reported Health Issues"")"
Google + 1 more,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10303-top-percentile-fraud?code_type=3"",""Top Percentile Fraud"")"
LinkedIn + 1 more,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9919-unique-highest-salary?code_type=3"",""Unique Highest Salary"")"
Wine Magazine,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2147-most-expensive-and-cheapest-wine-with-ties?code_type=3"",""Most Expensive And Cheapest Wine With Ties"")"
Yelp,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10046-top-5-states-with-5-star-businesses?code_type=3"",""Top 5 States With 5 Star Businesses"")"
City of San Francisco,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9739-worst-businesses?code_type=3"",""Worst Businesses"")"
Google,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9883-find-the-oldest-survivor-per-passenger-class?code_type=3"",""Find the oldest survivor per passenger class"")"
Yelp,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9612-keywords-from-yelp-reviews?code_type=3"",""Keywords From Yelp Reviews"")"
Meta,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9791-views-per-keyword?code_type=3"",""Views Per Keyword"")"
Meta,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9776-common-interests-amongst-users?code_type=3"",""Common Interests Amongst Users"")"
Google,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10067-google-fit-user-tracking?code_type=3"",""Google Fit User Tracking"")"
City of San Francisco,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9741-inspection-scores-for-businesses?code_type=3"",""Inspection Scores For Businesses"")"
Google,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2105-videos-removed-on-latest-date?code_type=3"",""Videos Removed on Latest Date"")"
